,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PX450 발렌무디 크림,,,,,,
,,기본단가 적용,20%,20%,30%,50%,80%,,,,기본단가 적용,20%,,20%,,30%,,50%,,80%,,,영림175발렌블랑(PX449),,,,,,
,,,,,,,,,,,,,,,,,,,,,,,YL-1,YL-2,YL-3,YL-4,YL-5,YL-6,인필
브랜드,상품명,매입가,단가,단가,단가,단가,단가,,브랜드,상품명,YL-1,YL-2,차액,YL-3,차액,YL-4,차액,YL-5,차액,YL-6,차액,,기본단가 적용,20%,20%,30%,50%,80%,100%
,■ 평판,,,,,,,,,■ 평판,,,,,,,,,,,,,영림08유백색(PS012),영림02(PW1100-1),PS022,영림05,영림79 내추럴월넛(PWT1200),PSM180,
영림,평몰딩 30*9,"2,000","2,420","2,970","2,640","3,080","3,630",,영림,평몰딩 30*9,"2,420","2,970",550,"2,970",550,"3,190",770,"3,630","1,210","4,400","1,980",,영림15순백색(PS011),영림03(PW1100-2),PS030,영림49,영림80 내추럴브라운(PWT1200-1),PSM181 소프트매트,
,평몰딩 40*9,"2,300","2,860","3,520","3,080","3,520","4,180",,,평몰딩 40*9,"2,860","3,520",660,"3,520",660,"3,740",880,"4,290","1,430","5,170","2,310",,영림20 연체리(PW1110),영림04(PW1101),PS032,영림73(PWR1000),영림81 내추럴오렌지(PWT1200-2),PSM182 소프트매트,
,평몰딩 50*9,"2,530","3,080","3,740","3,300","3,850","4,620",,,평몰딩 50*9,"3,080","3,740",660,"3,740",660,"4,070",990,"4,620","1,540","5,610","2,530",,영림21 월넛(PW901),영림06(PW1102),PS038,영림74(PWR1003),영림83 내추럴화이트(PWT1200-4),PSM183 소프트매트,
,평몰딩 60*9,"2,760","3,410","4,180","3,630","4,180","5,060",,,평몰딩 60*9,"3,410","4,180",770,"4,180",770,"4,510","1,100","5,170","1,760","6,160","2,750",,영림22 (PW810-1),영림10(PW1105),PS040,영림87(PWR1004),영림93 리치메이플(PWT1204),PSM184 소프트매트,
,평몰딩 80*9,"3,380","4,070","4,950","4,400","5,170","6,160",,,평몰딩 80*9,"4,070","4,950",880,"4,950",880,"5,390","1,320","6,160","2,090","7,370","3,300",,영림25 워시오크(PW912),영림12,PS041,영림102,영림94 리치스칼렛(PWT1204-1),PSM185 소프트매트,
,평몰딩 100*9,"4,020","4,840","5,830","5,280","6,050","7,260",,,평몰딩 100*9,"4,840","5,830",990,"5,830",990,"6,380","1,540","7,260","2,420","8,800","3,960",,영림26 햄록(PW1111),영림13(PW1106),PS044,영림123(PW1005),영림125 내추럴크림(PWT1200-5),PSM186 소프트매트,
,평몰딩 120*9,"4,560","5,500","6,600","5,940","6,930","8,250",,,평몰딩 120*9,"5,500","6,600","1,100","6,600","1,100","7,150","1,650","8,250","2,750","9,900","4,400",,영림27 연월넛(PW1112),영림19 진체리(PW810),PS045,,영림142(PWT1206),PSM189 소프트매트,
,평몰딩 160*9,"5,830","7,040","8,470","7,590","8,800","10,560",,,평몰딩 160*9,"7,040","8,470","1,430","8,470","1,430","9,240","2,200","10,560","3,520","12,760","5,720",,영림34 그레이느름(PW811),영림23 홍송(PW910),PS046,,영림143(PWT1206-1),PSM190 소프트매트 포슬린,
,평몰딩 200*9,"6,660","8,030","9,680","8,690","10,010","11,990",,,평몰딩 200*9,"8,030","9,680","1,650","9,680","1,650","10,450","2,420","12,100","4,070","14,520","6,490",,영림40 인디언오크(PW814),영림24 (PW911),PS049,,영림170(PWT1206-2),PSM191 소프트매트,
,평몰딩 250*9,"8,600","10,340","12,430","11,220","12,980","15,510",,,평몰딩 250*9,"10,340","12,430","2,090","12,430","2,090","13,530","3,190","15,510","5,170","18,700","8,360",,영림50 펄백색(PW801),영림35 블랙티크(PW812),PS050,,영림197 보니타(PWE1500),PSM192 소프트매트,
,평몰딩 300*9,"10,180","12,320","14,850","13,310","15,290","18,370",,,평몰딩 300*9,"12,320","14,850","2,530","14,850","2,530","16,060","3,740","18,480","6,160","22,220","9,900",,영림53-1 소프트오크(PW905),영림54(PW1114),PS054,,영림198 (PWE1500-1),PSM194 소프트매트,
,평몰딩 400*9,"12,820","15,400","18,480","16,720","19,250","23,100",,,평몰딩 400*9,"15,400","18,480","3,080","18,480","3,080","20,020","4,620","23,100","7,700","27,720","12,320",,영림90 엠보백색(PS003),영림56(PW913),PS061,,영림199 (PWE1500-2),PSM195 소프트매트 캐시미어,
,평몰딩 600*9,"19,860","23,870","28,710","25,850","29,810","35,750",,,평몰딩 600*9,"23,870","28,710","4,840","28,710","4,840","31,130","7,260","35,860","11,990","43,010","19,140",,영림99 로얄티크(PW924)◆,영림57(PW913-1),PS062,,영림200 팔콘(PWE1501),PSM196 소프트매트 라이트그레이,
,문선몰딩 40*12,"2,740","3,300","3,960","3,630","4,180","4,950",,,문선몰딩 40*12,"3,300","3,960",660,"3,960",660,"4,290",990,"4,950","1,650","5,940","2,640",,영림116 중백색(PS010),영림60,PS063,,영림201 (PWE1501-1),PSM197 소프트매트 로즈그레이,
,문선몰딩 60*12,"3,340","4,070","4,950","4,400","5,060","6,050",,,문선몰딩 60*12,"4,070","4,950",880,"4,950",880,"5,390","1,320","6,160","2,090","7,370","3,300",,영림133(PS070),영림89(PW803),PS065,,영림202 (PWE1501-2),PSM198 소프트매트 포그그레이지,
,■ 천장,,,,,,,,,■ 천장,,,0,,0,,0,,0,,0,,영림135 미스티오크(PW937),영림97 카라멜애쉬(PW922-2),PS066,,,PSM199 소프트매트 화이트,
,마이너스몰딩 25*15,"2,610","3,190","3,850","3,410","3,960","4,730",,,마이너스몰딩 25*15,"3,190","3,850",660,"3,850",660,"4,180",990,"4,840","1,650","5,830","2,640",,영림160 진회색(PS027),영림99 가로결 로얄티크(PW934) ◆,PS072,,,PSM210 소프트매트 밀크화이트,
,천장 1번 80*12,"4,200","5,060","6,160","5,500","6,380","7,590",,,천장 1번 80*12,"5,060","6,160","1,100","6,160","1,100","6,600","1,540","7,590","2,530","9,130","4,070",,영림161 먹회색(PS037),영림100(PW924-1),PS077,,,PMS314 메탈 카키,
,천장 2번 70*12,"3,800","4,620","5,610","4,950","5,720","6,930",,,천장 2번 70*12,"4,620","5,610",990,"5,610",990,"6,050","1,430","6,930","2,310","8,360","3,740",,영림162 검정(PS028),영림101(PW925),PS078,,,PMS326,
,천장 3번 55*12,"3,280","3,960","4,840","4,290","4,950","5,940",,,천장 3번 55*12,"3,960","4,840",880,"4,840",880,"5,170","1,210","5,940","1,980","7,150","3,190",,영림167 우드백색(PS080),영림103(PW927),PS082,,,PMS327,
,3.0 몰딩 ◆,"4,940","5,940","7,150","6,490","7,480","8,910",,,3.0 몰딩,"5,940","7,150","1,210","7,150","1,210","7,810","1,870","8,910","2,970","10,780","4,840",,영림168 도장백색(PS120),영림104(PW927-1),PS083,,,PMS328,
,4.0 몰딩 ◆,"7,360","8,910","10,780","9,570","11,110","13,310",,,4.0 몰딩,"8,910","10,780","1,870","10,780","1,870","11,660","2,750","13,420","4,510","16,060","7,150",,영림169 크림백색(PS130),영림108 어반오크(PW929-1),PS094,,,PMS329,
,2계단 몰딩(소) 50*12,"3,200","3,850","4,620","4,180","4,840","5,830",,,2계단 몰딩(소) 50*12,"3,850","4,620",770,"4,620",770,"5,060","1,210","5,830","1,980","6,930","3,080",,영림194 주백색(PS160),영림109(PW835),PS095,,,PMS330,
,2계단 몰딩(대) 70*18 ◆,"5,290","6,380","7,700","6,930","8,030","9,570",,,2계단 몰딩(대) 70*18,"6,380","7,700","1,320","7,700","1,320","8,360","1,980","9,570","3,190","11,550","5,170",,영림195 회벽백색(PS170),영림124(PW941),PS096,,,PMS331,
,3계단 몰딩(소) 48*15 ◆,"3,540","4,290","5,170","4,620","5,390","6,380",,,3계단 몰딩(소) 48*15,"4,290","5,170",880,"5,170",880,"5,610","1,320","6,490","2,200","7,810","3,520",,영림196 베이지(PS035),영림127 PW946,PS098,,,PMS334 샴페인,
