대대분류,대분류,중분류,소분류,브랜드,오집 item_code,대산 제품명,제품명,디폴트,옵션 번들명,순서,옵션1 (규격),순서,옵션2 (재단여부),순서,옵션3 (색상),제품 색상,제조사 제품 코드,제품 규격,제품설명,활성,단위,"기본금액
 (VAT포함)",옵션 1 (규격) 추가금,"옵션 2 (재단여부) 
 추가금","옵션 3 (색상) 
 추가금",단위,"기본금액
 (VAT포함)",옵션 1 (규격) 추가금,"옵션 2 (재단여부) 
 추가금","옵션 3 (색상) 
 추가금",추가일,"추가
 완료",비고
목자재/철물,목자재/철물,목자재,몰딩,영림,,평몰딩 30*9,평몰딩 30*9,,,1,30*9*2400,,,YL-1,영림08 유백색(PS012),영림08유백색(PS012),,30*9*2400,,,EA,"2,420",0,,-,,,,,,,,
,,,,,,,,,,2,40*9*2400,,,YL-1,영림15 순백색(PS011),영림15순백색(PS011),,40*9*2400,,,,,,,-,,,,,,,,
,,,,,,,,,,3,50*9*2400,,,YL-1,영림20 연체리(PW1110),영림20 연체리(PW1110),,50*9*2400,,,,,,,-,,,,,,,,
,,,,,,,,,,4,60*9*2400,,,YL-1,영림21 월넛(PW901),영림21 월넛(PW901),,60*9*2400,,,,,,,-,,,,,,,,
,,,,,,,,,,5,80*9*2400,,,YL-1,영림22 (PW810-1),영림22 (PW810-1),,80*9*2400,,,,,,,-,,,,,,,,
,,,,,,,,,,6,100*9*2400,,,YL-1,영림25 워시오크(PW912),영림25 워시오크(PW912),,100*9*2400,,,,,,,-,,,,,,,,
,,,,,,,,,,7,120*9*2400,,,YL-1,영림26 햄록(PW1111),영림26 햄록(PW1111),,120*9*2400,,,,,,,-,,,,,,,,
,,,,,,,,,,8,160*9*2400,,,YL-1,영림27 연월넛(PW1112),영림27 연월넛(PW1112),,160*9*2400,,,,,,,-,,,,,,,,
,,,,,,,,,,9,200*9*2400,,,YL-1,영림34 그레이느름(PW811),영림34 그레이느름(PW811),,200*9*2400,,,,,,,-,,,,,,,,
,,,,,,,,,,10,250*9*2400,,,YL-1,영림40 인디언오크(PW814),영림40 인디언오크(PW814),,250*9*2400,,,,,,,-,,,,,,,,
,,,,,,,,,,11,300*9*2400,,,YL-1,영림50 펄백색(PW801),영림50 펄백색(PW801),,300*9*2400,,,,,,,-,,,,,,,,
,,,,,,,,,,12,400*9*2400,,,YL-1,영림53-1 소프트오크(PW905),영림53-1 소프트오크(PW905),,400*9*2400,,,,,,,-,,,,,,,,
,,,,,,,,,,13,600*9*2400,,,YL-1,영림90 엠보백색(PS003),영림90 엠보백색(PS003),,600*9*2400,,,,,,,-,,,,,,,,
,,,,,,,,,,14,40*12*2400,,,YL-1,영림99 로얄티크(PW924)◆,영림99 로얄티크(PW924)◆,,40*12*2400,,,,,,,-,,,,,,,,
,,,,,,,,,,15,60*12*2400,,,YL-1,영림116 중백색(PS010),영림116 중백색(PS010),,60*12*2400,,,,,,,-,,,,,,,,
,,,,,,,,,,16,25*15*2400,,,YL-1,영림133(PS070),영림133(PS070),,25*15*2400,,,,,,,-,,,,,,,,
,,,,,,,,,,17,80*12*2400,,,YL-1,영림135 미스티오크(PW937),영림135 미스티오크(PW937),,80*12*2400,,,,,,,-,,,,,,,,
,,,,,,,,,,18,70*12*2400,,,YL-1,영림160 진회색(PS027),영림160 진회색(PS027),,70*12*2400,,,,,,,-,,,,,,,,
,,,,,,,,,,19,55*12*2400,,,YL-1,영림161 먹회색(PS037),영림161 먹회색(PS037),,55*12*2400,,,,,,,-,,,,,,,,
,,,,,,,,,,20,55*12*2400,,,YL-1,영림162 검정(PS028),영림162 검정(PS028),,55*12*2400,,,,,,,-,,,,,,,,
,,,,,,,,,,21,110*15*2400,,,YL-1,영림167 우드백색(PS080),영림167 우드백색(PS080),,110*15*2400,,,,,,,-,,,,,,,,
,,,,,,,,,,22,50*12*2400,,,YL-1,영림168 도장백색(PS120),영림168 도장백색(PS120),,50*12*2400,,,,,,,-,,,,,,,,
,,,,,,,,,,23,70*18*2400,,,YL-1,영림169 크림백색(PS130),영림169 크림백색(PS130),,70*18*2400,,,,,,,-,,,,,,,,
,,,,,,,,,,24,48*15*2400,,,YL-1,영림194 주백색(PS160),영림194 주백색(PS160),,48*15*2400,,,,,,,-,,,,,,,,
,,,,,,,,,,25,70*15*2400,,,YL-1,영림195 회벽백색(PS170),영림195 회벽백색(PS170),,70*15*2400,,,,,,,-,,,,,,,,
,,,,,,,,,,26,40*9*2400,,,YL-1,영림196 베이지(PS035),영림196 베이지(PS035),,40*9*2400,,,,,,,-,,,,,,,,
,,,,,,,,,,27,40*9*2400,,,YL-1,PS025,PS025,,40*9*2400,,,,,,,-,,,,,,,,
,,,,,,,,,,28,50*9*2400,,,YL-1,PS034,PS034,,50*9*2400,,,,,,,-,,,,,,,,
,,,,,,,,,,29,60*9*2400,,,YL-1,PS047,PS047,,60*9*2400,,,,,,,-,,,,,,,,
,,,,,,,,,,30,70*9*2400,,,YL-1,PS048,PS048,,70*9*2400,,,,,,,-,,,,,,,,
,,,,,,,,,,31,80*9*2400,,,YL-1,PS073,PS073,,80*9*2400,,,,,,,-,,,,,,,,
,,,,,,,,,,32,90*9*2400,,,YL-2,영림02(PW1100-1),영림02(PW1100-1),,90*9*2400,,,,,,,550,,,,,,,,
,,,,,,,,,,33,90*12*2400,,,YL-2,영림03(PW1100-2),영림03(PW1100-2),,90*12*2400,,,,,,,550,,,,,,,,
,,,,,,,,,,34,51.2*12.2*2400,,,YL-2,영림04(PW1101),영림04(PW1101),,51.2*12.2*2400,,,,,,,550,,,,,,,,
,,,,,,,,,,35,25*12*2400,,,YL-2,영림06(PW1102),영림06(PW1102),,25*12*2400,,,,,,,550,,,,,,,,
,,,,,,,,,,36,35*15*2400,,,YL-2,영림10(PW1105),영림10(PW1105),,35*15*2400,,,,,,,550,,,,,,,,
,,,,,,,,,,37,50*15*2400,,,YL-2,영림12,영림12,,50*15*2400,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림13(PW1106),영림13(PW1106),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림19 진체리(PW810),영림19 진체리(PW810),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림23 홍송(PW910),영림23 홍송(PW910),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림24 (PW911),영림24 (PW911),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림35 블랙티크(PW812),영림35 블랙티크(PW812),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림54(PW1114),영림54(PW1114),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림56(PW913),영림56(PW913),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림57(PW913-1),영림57(PW913-1),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림60,영림60,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림89(PW803),영림89(PW803),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림97 카라멜애쉬(PW922-2),영림97 카라멜애쉬(PW922-2),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림99 가로결 로얄티크(PW934) ◆,영림99 가로결 로얄티크(PW934) ◆,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림100(PW924-1),영림100(PW924-1),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림101(PW925),영림101(PW925),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림103(PW927),영림103(PW927),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림104(PW927-1),영림104(PW927-1),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림108 어반오크(PW929-1),영림108 어반오크(PW929-1),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림109(PW835),영림109(PW835),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림124(PW941),영림124(PW941),,0,,,,,,,550,,,,,,,,
