,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20%,20%,40%,,,,,25%,,30%,,45%,,,,,,,,,,,,,,,
,,┏베스트┓,"┏베이직,솔리드┓","┏HP,메탈릭┓",┏매트┓,,,,┏베스트┓,"┏베이직,솔리드┓",,"┏메탈릭,HP┓",,┏매트┓,,,,,,,,,,,,,,,
브랜드,상품명,매입가,단가,단가,단가,,브랜드,상품명,공급가,단가,차액,단가,차액,단가,차액,,,베스트,,베이직,,솔리드,,HP,,메탈릭,,매트,
,■ 평판,,,,,,,■ 평판,,,,,,,,,,,,,,,,,,,,,
예림,평몰딩 30*9,"1,900","2,280","2,280","2,660",,예림,평몰딩 30*9,"2,420","3,080",660,"3,190",770,"3,520","1,100",,베스트,예림6 HS002 유백,베이직,CL 01 HC801 퓨어화이트,솔리드,예림73 HS041 베이비그린,HP,HP521 쁘레 회벽화이트,메탈릭,예림152 HT2301 메탈그레이,매트,HSM01 매트 화이트,
,평몰딩 40*9,"2,100","2,520","2,520","2,940",,,평몰딩 40*9,"2,640","3,300",660,"3,520",880,"3,850","1,210",,베스트,예림10 HW1024 로열워시오크,베이직,CL 02 HC802 페일그레이,솔리드,예림74 HS040 옐로우,HP,HP522 쁘레 회벽웜그레이,메탈릭,예림153 HT2302 골드,매트,HSM02 매트 밀크화이트,
,평몰딩 50*9,"2,300","2,760","2,760","3,220",,,평몰딩 50*9,"2,970","3,740",770,"3,960",990,"4,400","1,430",,베스트,예림43 HW1059 아카시아,베이직,CL 03 HC803 모노그레이,솔리드,예림78 HS022 베이비핑크,HP,HP523 쁘레 회벽쿨그레이,,,매트,HSM03 매트 캐시미어,
,평몰딩 60*9,"2,400","2,880","2,880","3,360",,,평몰딩 60*9,"3,080","3,850",770,"4,070",990,"4,510","1,430",,베스트,예림72 HE401 화이트펄,베이직,CL 04 HC804 클래식블루,솔리드,예림90 HS007 쿨그레이,HP,HP524 쁘레 회벽코지브라운,,,매트,HSM04 매트 브라운,
,평몰딩 80*9,"3,000","3,600","3,600","4,200",,,평몰딩 80*9,"3,850","4,840",990,"5,060","1,210","5,610","1,760",,베스트,예림85 HW1004 크림오크,베이직,CL 05 HL1851 라이트애쉬,솔리드,예림108 HS027 소프트블루,HP,HP525 쁘레 회벽로지,,,매트,HSM06 매트 그레이,
,평몰딩 100*9,"3,600","4,320","4,320","5,040",,,평몰딩 100*9,"4,510","5,720","1,210","5,940","1,430","6,600","2,090",,베스트,예림113 HS013 차콜,베이직,CL 06 HL1852 스킨오크,솔리드,예림109 HS032 샌드베이지,HP,HP526 쁘레 회벽크림콘,,,매트,HSM07 매트 다크그레이,
