대대분류,대분류,중분류,소분류,브랜드,오집 item_code,대산 제품명,제품명,디폴트,옵션 번들명,순서,옵션1 (규격),순서,옵션2 (재단여부),순서,옵션3 (색상),제품 색상,제조사 제품 코드,제품 규격,제품설명,활성,단위,"기본금액
 (VAT포함)",옵션 1 (규격) 추가금,"옵션 2 (재단여부) 
 추가금","옵션 3 (색상) 
 추가금",단위,"기본금액
 (VAT포함)",옵션 1 (규격) 추가금,"옵션 2 (재단여부) 
 추가금","옵션 3 (색상) 
 추가금",추가일,"추가
 완료",비고,,,대대분류,대분류,중분류,소분류,브랜드,제품명
,,,,,,,,,,,30*9*2400,,,베스트,예림6 HS002 유백,,,30*9*2400,,,EA,"2,420",0,,-,,,,,,,,,,,목자재/철물,목자재/철물,목자재,몰딩,예림,평몰딩 30*9
,,,,,,,,,,,40*9*2400,,,베스트,예림10 HW1024 로열워시오크,,,40*9*2400,,,,,,,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,50*9*2400,,,베스트,예림43 HW1059 아카시아,,,50*9*2400,,,,,,,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,60*9*2400,,,베스트,예림72 HE401 화이트펄,,,60*9*2400,,,,,,,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,80*9*2400,,,베스트,예림85 HW1004 크림오크,,,80*9*2400,,,,,,,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,100*9*2400,,,베스트,예림113 HS013 차콜,,,100*9*2400,,,,,,,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,120*9*2400,,,베스트,예림134 HW1019 오크마일드,,,120*9*2400,,,,,,,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,160*9*2400,,,베스트,예림135 HWB1064 오크딥,,,160*9*2400,,,,,,,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,200*9*2400,,,베스트,예림141 HS009 라이트그레이,,,200*9*2400,,,,,,,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,250*9*2400,,,베스트,CL01 HC801 퓨어화이트,,,250*9*2400,,,,,,,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,300*9*2400,,,베스트,PW-01 HP506 화이트페인트,,,300*9*2400,,,,,,,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,400*9*2400,,,베스트,WA-06 HS004 크림화이트,,,400*9*2400,,,,,,,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,600*9*2400,,,베스트,HCP01 세라믹문퍼시픽,,,600*9*2400,,,,,,,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,40*12*2400,,,베스트,HWP20 슈가엘름,,,40*12*2400,,,,,,,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,60*12*2400,,,베스트,예림12 HW1060 연월넛,,,60*12*2400,,,,,,,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,25*15*2400,,,베스트,예림80 HWB1005 화인오크,,,25*15*2400,,,,,,,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,80*12*2400,,,베스트,예림91 HS010 진그레이,,,80*12*2400,,,,,,,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,70*12*2400,,,베스트,예림107 HS015 올블랙,,,70*12*2400,,,,,,,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,55*12*2400,,,베스트,예림145 HS031 헤일네이비,,,55*12*2400,,,,,,,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,55*12*2400,,,베스트,예림148 HE403 소프트화이트,,,55*12*2400,,,,,,,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,80*15*2400,,,베스트,CL 02 HC802 페일그레이,,,80*15*2400,,,,,,,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,50*12*2400,,,베스트,HN2009 유로 스톤화이트,,,50*12*2400,,,,,,,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,70*18*2400,,,베스트,HS046 페일화이트,,,70*18*2400,,,,,,,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,48*15*2400,,,베스트,HW1065 브릭월넛,,,48*15*2400,,,,,,,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,70*15*2400,,,베스트,HW1069 프리스틴오크,,,70*15*2400,,,,,,,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,30*9*2400,,,베스트,HW1077 카멜사펠레,,,30*9*2400,,,,,,,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,40*9*2400,,,베스트,WA-05 HWB1007 브룩시더(세로),,,40*9*2400,,,,,,,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,60*9*2400,,,베스트,HLC010 콘크리트화이트,,,60*9*2400,,,,,,,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,70*9*2400,,,베스트,HPW21 프렌치오크K,,,70*9*2400,,,,,,,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,80*9*2400,,,베스트,HPW22 피넛오크,,,80*9*2400,,,,,,,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,90*9*2400,,,베스트,HPW35 던오크,,,90*9*2400,,,,,,,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,30*9*2400,,,베이직,CL 01 HC801 퓨어화이트,,,30*9*2400,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,40*9*2400,,,베이직,CL 02 HC802 페일그레이,,,40*9*2400,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,60*9*2400,,,베이직,CL 03 HC803 모노그레이,,,60*9*2400,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,80*9*2400,,,베이직,CL 04 HC804 클래식블루,,,80*9*2400,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,100*9*2400,,,베이직,CL 05 HL1851 라이트애쉬,,,100*9*2400,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,25*15*2400,,,베이직,CL 06 HL1852 스킨오크,,,25*15*2400,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,30*12*2400,,,베이직,예림2 HW1038 중체리,,,30*12*2400,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,40*15*2400,,,베이직,예림3 HW1039 연체리,,,40*15*2400,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림4 HW1049 월넛,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림5 HW1046 홍송,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림9 HW1041 메이플,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림15 HW1044 레드티크,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림16 HW1035 워시애쉬,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림23 HW1045 레드오크,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림25 HW1050 그린웬지,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림26 HW1034 베이지오크,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림36 HWB1042 네추럴브라운,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림46 HW1058 티크,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림58 HW1033 그레이오크,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림66 HW1031 화이트오크,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림68 HW1056 로열월넛,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림69 HW1055 로열아카시아,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림81 HWB1030 펄오크,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림82 HWB1018 쏘마크오크,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림83 HW1028 클래식오크,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림84 HWB1013 샤인오크,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림86 HWB1022 스트라이프우드,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림87 HWB1029 퓨어오크,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림88 HWB1012 쉬머오크,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림93 HF2201 코트니브라운,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림94 HF2202 코트니베이지,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림98 HW1016 프렌치오크,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림99 HWB1017 마일드워시오크,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림100 HWB1003 소프트워시오크,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림102 HW1025 빈티지오크,,,,,,,,,,660,,,,,,,,,,,,,,,,
